n, x, pi, p
11, 11,0.3, 1.77147e-06
11, 11,0.35, 9.6549157373e-06
11, 11,0.4, 4.194304e-05
11, 11,0.45, 0.000153227830122
11, 11,0.5, 0.00048828125
12, 0,0.01, 0.886384871716
12, 0,0.05, 0.540360087663
12, 0,0.1, 0.282429536481
12, 0,0.15, 0.142241757136
12, 0,0.2, 0.068719476736
12, 0,0.25, 0.0316763520241
12, 0,0.3, 0.013841287201
12, 0,0.35, 0.00568800906311
12, 0,0.4, 0.002176782336
12, 0,0.45, 0.00076621786541
12, 0,0.5, 0.000244140625
12, 1,0.01, 0.107440590511
12, 1,0.05, 0.341280055366
12, 1,0.1, 0.376572715308
12, 1,0.15, 0.301217838641
12, 1,0.2, 0.206158430208
12, 1,0.25, 0.126705408096
12, 1,0.3, 0.071183762748
12, 1,0.35, 0.0367532893308
12, 1,0.4, 0.017414258688
12, 1,0.45, 0.00752286631494
12, 1,0.5, 0.0029296875
12, 2,0.01, 0.00596892169506
12, 2,0.05, 0.0987915949743
12, 2,0.1, 0.230127770466
12, 2,0.15, 0.292358490446
12, 2,0.2, 0.283467841536
12, 2,0.25, 0.232293248177
12, 2,0.3, 0.167790297906
12, 2,0.35, 0.108846279941
12, 2,0.4, 0.063852281856
12, 2,0.45, 0.0338528984172
12, 2,0.5, 0.01611328125
12, 3,0.01, 0.000200973794446
12, 3,0.05, 0.0173318587674
12, 3,0.1, 0.08523250758
12, 3,0.15, 0.171975582615
12, 3,0.2, 0.23622320128
12, 3,0.25, 0.258103609085
12, 3,0.3, 0.23970042558
12, 3,0.35, 0.195365117843
12, 3,0.4, 0.14189395968
12, 3,0.45, 0.0923260865924
12, 3,0.5, 0.0537109375
12, 4,0.01, 4.56758623742e-06
12, 4,0.05, 0.0020524569593
12, 4,0.1, 0.021308126895
12, 4,0.15, 0.068284422509
12, 4,0.2, 0.13287555072
12, 4,0.25, 0.193577706814
12, 4,0.3, 0.231139696095
12, 4,0.35, 0.23669235431
12, 4,0.4, 0.21284093952
12, 4,0.45, 0.169963932136
12, 4,0.5, 0.120849609375
12, 5,0.01, 7.38195755542e-08
12, 5,0.05, 0.000172838480783
12, 5,0.1, 0.003788111448
12, 5,0.15, 0.019280307532
12, 5,0.2, 0.053150220288
12, 5,0.25, 0.103241443634
12, 5,0.3, 0.158495791608
12, 5,0.35, 0.20391956679
12, 5,0.4, 0.227030335488
12, 5,0.45, 0.222498238433
12, 5,0.5, 0.193359375
12, 6,0.01, 8.69927658047e-10
12, 6,0.05, 1.06128891709e-05
12, 6,0.1, 0.000491051484
12, 6,0.15, 0.00396947508011
12, 6,0.2, 0.015502147584
12, 6,0.25, 0.0401494503021
12, 6,0.3, 0.079247895804
12, 6,0.35, 0.128103317599
12, 6,0.4, 0.176579149824
12, 6,0.45, 0.21238468214
12, 6,0.5, 0.2255859375
12, 7,0.01, 7.53184119521e-12
12, 7,0.05, 4.78776955078e-07
12, 7,0.1, 4.6766808e-05
12, 7,0.15, 0.000600424802033
12, 7,0.2, 0.003321888768
12, 7,0.25, 0.0114712715149
12, 7,0.3, 0.029111471928
12, 7,0.35, 0.0591246081227
12, 7,0.4, 0.100902371328
12, 7,0.45, 0.148945101761
12, 7,0.5, 0.193359375
12, 8,0.01, 4.7549502495e-14
12, 8,0.05, 1.57492419434e-08
12, 8,0.1, 3.247695e-06
12, 8,0.15, 6.62233237537e-05
12, 8,0.2, 0.00051904512
12, 8,0.25, 0.00238984823227
12, 8,0.3, 0.007797715695
12, 8,0.35, 0.0198977046567
12, 8,0.4, 0.04204265472
12, 8,0.45, 0.0761651088549
12, 8,0.5, 0.120849609375
12, 9,0.01, 2.1346578e-16
12, 9,0.05, 3.68403320313e-10
12, 9,0.1, 1.6038e-07
12, 9,0.15, 5.19398617676e-06
12, 9,0.2, 5.767168e-05
12, 9,0.25, 0.000354051589966
12, 9,0.3, 0.00148527918
12, 9,0.35, 0.00476184384946
12, 9,0.4, 0.01245708288
12, 9,0.45, 0.02769640322
12, 9,0.5, 0.0537109375
12, 10,0.01, 6.46866e-19
12, 10,0.05, 5.81689453125e-12
12, 10,0.1, 5.346e-09
12, 10,0.15, 2.7497573877e-07
12, 10,0.2, 4.325376e-06
12, 10,0.25, 3.54051589966e-05
12, 10,0.3, 0.000190964466
12, 10,0.35, 0.000769220929528
12, 10,0.4, 0.002491416576
12, 10,0.45, 0.00679820806308
12, 10,0.5, 0.01611328125
12, 11,0.01, 1.188e-21
12, 11,0.05, 5.56640625e-14
12, 11,0.1, 1.08e-10
12, 11,0.15, 8.82275097656e-09
12, 11,0.2, 1.96608e-07
12, 11,0.25, 2.14576721191e-06
12, 11,0.3, 1.4880348e-05
12, 11,0.35, 7.5308342751e-05
12, 11,0.4, 0.000301989888
12, 11,0.45, 0.00101130367881
12, 11,0.5, 0.0029296875
12, 12,0.01, 1e-24
12, 12,0.05, 2.44140625e-16
12, 12,0.1, 1e-12
12, 12,0.15, 1.29746337891e-10
12, 12,0.2, 4.096e-09
12, 12,0.25, 5.96046447754e-08
12, 12,0.3, 5.31441e-07
12, 12,0.35, 3.37922050806e-06
12, 12,0.4, 1.6777216e-05
12, 12,0.45, 6.89525235549e-05
12, 12,0.5, 0.000244140625
13, 0,0.01, 0.877521022999
13, 0,0.05, 0.51334208328
13, 0,0.1, 0.254186582833
13, 0,0.15, 0.120905493566
13, 0,0.2, 0.0549755813888
13, 0,0.25, 0.0237572640181
13, 0,0.3, 0.0096889010407
13, 0,0.35, 0.00369720589102
13, 0,0.4, 0.0013060694016
13, 0,0.45, 0.000421419825976
13, 0,0.5, 0.0001220703125
13, 1,0.01, 0.115230033323
13, 1,0.05, 0.351234056981
13, 1,0.1, 0.367158397425
13, 1,0.15, 0.277371426416
13, 1,0.2, 0.178670639514
13, 1,0.25, 0.102948144078
13, 1,0.3, 0.0539810200839
13, 1,0.35, 0.0258804412371
13, 1,0.4, 0.0113192681472
13, 1,0.45, 0.00448237451265
13, 1,0.5, 0.0015869140625
13, 2,0.01, 0.00698363838322
13, 2,0.05, 0.110916017994
13, 2,0.1, 0.24477226495
13, 2,0.15, 0.293687392675
13, 2,0.2, 0.26800595927
13, 2,0.25, 0.205896288157
13, 2,0.3, 0.138808337359
13, 2,0.35, 0.0836137332277
13, 2,0.4, 0.0452770725888
13, 2,0.45, 0.0220043839712
13, 2,0.5, 0.009521484375
13, 3,0.01, 0.000258653273453
13, 3,0.05, 0.0214048455778
13, 3,0.1, 0.0997220338686
13, 3,0.15, 0.19003301879
13, 3,0.2, 0.245672129331
13, 3,0.25, 0.251651018858
13, 3,0.3, 0.218127387278
13, 3,0.35, 0.165083524578
13, 3,0.4, 0.11067728855
13, 3,0.45, 0.0660131519136
13, 3,0.5, 0.034912109375
13, 4,0.01, 6.53164831951e-06
13, 4,0.05, 0.00281642704971
13, 4,0.1, 0.0277005649635
13, 4,0.15, 0.0838380965249
13, 4,0.2, 0.153545080832
13, 4,0.25, 0.209709182382
13, 4,0.3, 0.23370791494
13, 4,0.35, 0.222227821547
13, 4,0.4, 0.184462147584
13, 4,0.45, 0.135026901641
13, 4,0.5, 0.0872802734375
13, 5,0.01, 1.18757242173e-07
13, 5,0.05, 0.000266819404709
13, 5,0.1, 0.0055401129927
13, 5,0.15, 0.0266309247785
13, 5,0.2, 0.0690952863744
13, 5,0.25, 0.125825509429
13, 5,0.3, 0.180288962954
13, 5,0.35, 0.215390042422
13, 5,0.4, 0.221354577101
13, 5,0.45, 0.198857800599
13, 5,0.5, 0.157104492187
13, 6,0.01, 1.59942413701e-09
13, 6,0.05, 1.87241687515e-05
13, 6,0.1, 0.0008207574804
13, 6,0.15, 0.00626609994789
13, 6,0.2, 0.0230317621248
13, 6,0.25, 0.0559224486351
13, 6,0.3, 0.103022264545
13, 6,0.35, 0.154639004816
13, 6,0.4, 0.19675962409
13, 6,0.45, 0.216935782472
13, 6,0.5, 0.20947265625
13, 7,0.01, 1.61557993637e-11
13, 7,0.05, 9.85482565869e-07
13, 7,0.1, 9.11952756e-05
13, 7,0.15, 0.00110578234374
13, 7,0.2, 0.0057579405312
13, 7,0.25, 0.0186408162117
13, 7,0.3, 0.0441523990908
13, 7,0.35, 0.0832671564394
13, 7,0.4, 0.131173082726
13, 7,0.45, 0.177492912932
13, 7,0.5, 0.20947265625
13, 8,0.01, 1.22392419422e-13
13, 8,0.05, 3.89006276001e-08
13, 8,0.1, 7.5996063e-06
13, 8,0.15, 0.000146353545496
13, 8,0.2, 0.0010796138496
13, 8,0.25, 0.00466020405293
13, 8,0.3, 0.0141918425649
13, 8,0.35, 0.0336271208698
13, 8,0.4, 0.0655865413632
13, 8,0.45, 0.108916105663
13, 8,0.5, 0.157104492187
13, 9,0.01, 6.8682614715e-16
13, 9,0.05, 1.13744525146e-09
13, 9,0.1, 4.691115e-07
13, 9,0.15, 1.43483868133e-05
13, 9,0.2, 0.000149946368
13, 9,0.25, 0.000863000750542
13, 9,0.3, 0.0033790101345
13, 9,0.35, 0.010059395132
13, 9,0.4, 0.024291311616
13, 9,0.45, 0.0495073207557
13, 9,0.5, 0.0872802734375
13, 10,0.01, 2.77505514e-18
13, 10,0.05, 2.39462158203e-11
13, 10,0.1, 2.08494e-08
13, 10,0.15, 1.01282730447e-06
13, 10,0.2, 1.49946368e-05
13, 10,0.25, 0.000115066766739
13, 10,0.3, 0.0005792588802
13, 10,0.35, 0.0021666389515
13, 10,0.4, 0.0064776830976
13, 10,0.45, 0.0162023958837
13, 10,0.5, 0.034912109375
13, 11,0.01, 7.64478e-21
13, 11,0.05, 3.43725585938e-13
13, 11,0.1, 6.318e-10
13, 11,0.15, 4.87456991455e-08
13, 11,0.2, 1.0223616e-06
13, 11,0.25, 1.04606151581e-05
13, 11,0.3, 6.77055834e-05
13, 11,0.35, 0.000318177748123
13, 11,0.4, 0.0011777605632
13, 11,0.45, 0.00361541065173
13, 11,0.5, 0.009521484375
13, 12,0.01, 1.287e-23
13, 12,0.05, 3.01513671875e-15
13, 12,0.1, 1.17e-11
13, 12,0.15, 1.43369703369e-09
13, 12,0.2, 4.25984e-08
13, 12,0.25, 5.8114528656e-07
13, 12,0.3, 4.8361131e-06
13, 12,0.35, 2.85544132931e-05
13, 12,0.4, 0.0001308622848
13, 12,0.45, 0.000493010543418
13, 12,0.5, 0.0015869140625
13, 13,0.01, 1e-26
13, 13,0.05, 1.220703125e-17
13, 13,0.1, 1e-13
13, 13,0.15, 1.94619506836e-11
13, 13,0.2, 8.192e-10
13, 13,0.25, 1.49011611938e-08
13, 13,0.3, 1.594323e-07
13, 13,0.35, 1.18272717782e-06
13, 13,0.4, 6.7108864e-06
13, 13,0.45, 3.10286355997e-05
13, 13,0.5, 0.0001220703125
14, 0,0.01, 0.868745812769
14, 0,0.05, 0.487674979116
14, 0,0.1, 0.22876792455
14, 0,0.15, 0.102769669531
14, 0,0.2, 0.043980465111
14, 0,0.25, 0.0178179480135
14, 0,0.3, 0.00678223072849
14, 0,0.35, 0.00240318382916
14, 0,0.4, 0.00078364164096
14, 0,0.45, 0.000231780904287
14, 0,0.5, 6.103515625e-05
14, 1,0.01, 0.12285294322
14, 1,0.05, 0.359339458296
14, 1,0.1, 0.355861215966
14, 1,0.15, 0.253901536488
14, 1,0.2, 0.153931627889
14, 1,0.25, 0.0831504240632
14, 1,0.3, 0.0406933843709
14, 1,0.35, 0.018116308866
14, 1,0.4, 0.00731398864896
14, 1,0.45, 0.00265494490365
14, 1,0.5, 0.0008544921875
14, 2,0.01, 0.00806610233262
14, 2,0.05, 0.122931919943
14, 2,0.1, 0.257010878198
14, 2,0.15, 0.291239997736
14, 2,0.2, 0.250138895319
14, 2,0.25, 0.180159252137
14, 2,0.3, 0.113360142176
14, 2,0.35, 0.063407081031
14, 2,0.4, 0.0316939508122
14, 2,0.45, 0.0141194797149
14, 2,0.5, 0.00555419921875
14, 3,0.01, 0.00032590312455
14, 3,0.05, 0.0258804041986
14, 3,0.1, 0.114227056977
14, 3,0.15, 0.205581174873
14, 3,0.2, 0.250138895319
14, 3,0.25, 0.240212336183
14, 3,0.3, 0.194331672302
14, 3,0.35, 0.136569097605
14, 3,0.4, 0.0845172021658
14, 3,0.45, 0.0462092063395
14, 3,0.5, 0.022216796875
14, 4,0.01, 9.05286457084e-06
14, 4,0.05, 0.00374584797611
14, 4,0.1, 0.034902711854
14, 4,0.15, 0.0997673348647
14, 4,0.2, 0.171970490532
14, 4,0.25, 0.220194641501
14, 4,0.3, 0.229033756642
14, 4,0.35, 0.202227317608
14, 4,0.4, 0.154948203971
14, 4,0.45, 0.103970714264
14, 4,0.5, 0.0610961914062
14, 5,0.01, 1.82886152946e-07
14, 5,0.05, 0.000394299786959
14, 5,0.1, 0.00775615818978
14, 5,0.15, 0.0352120005405
14, 5,0.2, 0.0859852452659
14, 5,0.25, 0.146796427667
14, 5,0.3, 0.19631464855
14, 5,0.35, 0.217783265116
14, 5,0.4, 0.206597605294
14, 5,0.45, 0.170133896068
14, 5,0.5, 0.122192382812
14, 6,0.01, 2.77100231737e-09
14, 6,0.05, 3.11289305494e-05
14, 6,0.1, 0.00129269303163
14, 6,0.15, 0.00932082367248
14, 6,0.2, 0.0322444669747
14, 6,0.25, 0.0733982138336
14, 6,0.3, 0.126202274068
14, 6,0.35, 0.175901867978
14, 6,0.4, 0.206597605294
14, 6,0.45, 0.208800690629
14, 6,0.5, 0.183288574219
14, 7,0.01, 3.19884827402e-11
14, 7,0.05, 1.87241687515e-06
14, 7,0.1, 0.00016415149608
14, 7,0.15, 0.00187982998437
14, 7,0.2, 0.00921270484992
14, 7,0.25, 0.0279612243176
14, 7,0.3, 0.0618133587271
14, 7,0.35, 0.108247303371
14, 7,0.4, 0.157407699272
14, 7,0.45, 0.195242204225
14, 7,0.5, 0.20947265625
14, 8,0.01, 2.82726488865e-13
14, 8,0.05, 8.62297245135e-08
14, 8,0.1, 1.595917323e-05
14, 8,0.15, 0.000290267865233
14, 8,0.2, 0.00201527918592
14, 8,0.25, 0.00815535709262
14, 8,0.3, 0.0231800095227
14, 8,0.35, 0.0510011333191
14, 8,0.4, 0.0918211579085
14, 8,0.45, 0.139775668934
14, 8,0.5, 0.183288574219
14, 9,0.01, 1.9038820799e-15
14, 9,0.05, 3.0256043689e-09
14, 9,0.1, 1.18216098e-06
14, 9,0.15, 3.41491606156e-05
14, 9,0.2, 0.00033587986432
14, 9,0.25, 0.00181230157614
14, 9,0.3, 0.00662285986362
14, 9,0.35, 0.0183080991402
14, 9,0.4, 0.0408094035149
14, 9,0.45, 0.0762412739638
14, 9,0.5, 0.122192382812
14, 10,0.01, 9.6155660601e-18
14, 10,0.05, 7.96211676025e-11
14, 10,0.1, 6.567561e-08
14, 10,0.15, 3.01316123079e-06
14, 10,0.2, 4.198498304e-05
14, 10,0.25, 0.00030205026269
14, 10,0.3, 0.00141918425649
14, 10,0.35, 0.00492910361467
14, 10,0.4, 0.013603134505
14, 10,0.45, 0.0311896120761
14, 10,0.5, 0.0610961914062
14, 11,0.01, 3.53188836e-20
14, 11,0.05, 1.52385009766e-12
14, 11,0.1, 2.65356e-09
14, 11,0.15, 1.93357939944e-07
14, 11,0.2, 3.81681664e-06
14, 11,0.25, 3.66121530533e-05
14, 11,0.3, 0.00022117157244
14, 11,0.35, 0.000965139169306
14, 11,0.4, 0.00329772957696
14, 11,0.45, 0.00927955400611
14, 11,0.5, 0.022216796875
14, 12,0.01, 8.91891e-23
14, 12,0.05, 2.00506591797e-14
14, 12,0.1, 7.371e-11
14, 12,0.15, 8.53049735046e-09
14, 12,0.2, 2.3855104e-07
14, 12,0.25, 3.05101275444e-06
14, 12,0.3, 2.369695419e-05
14, 12,0.35, 0.000129922580484
14, 12,0.4, 0.00054962159616
14, 12,0.45, 0.00189809059216
14, 12,0.5, 0.00555419921875
14, 13,0.01, 1.386e-25
14, 13,0.05, 1.62353515625e-16
14, 13,0.1, 1.26e-12
14, 13,0.15, 2.31597213135e-10
14, 13,0.2, 9.17504e-09
14, 13,0.25, 1.56462192535e-07
14, 13,0.3, 1.56243654e-06
14, 13,0.35, 1.07628173182e-05
14, 13,0.4, 5.637144576e-05
14, 13,0.45, 0.000238920494118
14, 13,0.5, 0.0008544921875
14, 14,0.01, 1e-28
14, 14,0.05, 6.103515625e-19
14, 14,0.1, 1e-14
14, 14,0.15, 2.91929260254e-12
14, 14,0.2, 1.6384e-10
14, 14,0.25, 3.72529029846e-09
14, 14,0.3, 4.782969e-08
14, 14,0.35, 4.13954512237e-07
14, 14,0.4, 2.68435456e-06
14, 14,0.45, 1.39628860199e-05
14, 14,0.5, 6.103515625e-05
15, 0,0.01, 0.860058354641
15, 0,0.05, 0.46329123016
15, 0,0.1, 0.205891132095
15, 0,0.15, 0.0873542191013
15, 0,0.2, 0.0351843720888
15, 0,0.25, 0.0133634610102
15, 0,0.3, 0.00474756150994
15, 0,0.35, 0.00156206948896
15, 0,0.4, 0.000470184984576
15, 0,0.45, 0.000127479497358
15, 0,0.5, 3.0517578125e-05
15, 1,0.01, 0.130311871915
15, 1,0.05, 0.365756234337
15, 1,0.1, 0.343151886824
15, 1,0.15, 0.231231756444
15, 1,0.2, 0.131941395333
15, 1,0.25, 0.0668173050508
15, 1,0.3, 0.0305200382782
15, 1,0.35, 0.0126167151031
15, 1,0.4, 0.00470184984576
15, 1,0.45, 0.00156452110393
15, 1,0.5, 0.000457763671875
15, 2,0.01, 0.00921397074149
15, 2,0.05, 0.134752296861
15, 2,0.1, 0.266895911975
15, 2,0.15, 0.285639228549
15, 2,0.2, 0.230897441833
15, 2,0.25, 0.155907045119
15, 2,0.3, 0.0915601148346
15, 2,0.35, 0.0475553107732
15, 2,0.4, 0.0219419659469
15, 2,0.45, 0.00896043904981
15, 2,0.5, 0.00320434570312
15, 3,0.01, 0.000403305116631
15, 3,0.05, 0.0307329799858
15, 3,0.1, 0.128505439099
15, 3,0.15, 0.218429998302
15, 3,0.2, 0.250138895319
15, 3,0.25, 0.225199065171
15, 3,0.3, 0.170040213264
15, 3,0.35, 0.110962391804
15, 3,0.4, 0.0633879016243
15, 3,0.45, 0.0317688293584
15, 3,0.5, 0.0138854980469
15, 4,0.01, 1.22213671706e-05
15, 4,0.05, 0.00485257578723
15, 4,0.1, 0.0428351463663
15, 4,0.15, 0.115639410866
15, 4,0.2, 0.187604171489
15, 4,0.25, 0.225199065171
15, 4,0.3, 0.21862313134
15, 4,0.35, 0.179246940607
15, 4,0.4, 0.126775803249
15, 4,0.45, 0.0779780356979
15, 4,0.5, 0.0416564941406
15, 5,0.01, 2.71585937125e-07
15, 5,0.05, 0.000561877196417
15, 5,0.1, 0.0104708135562
15, 5,0.15, 0.0448953006891
15, 5,0.2, 0.103182294319
15, 5,0.25, 0.165145981126
15, 5,0.3, 0.206130380978
15, 5,0.35, 0.212338683488
15, 5,0.4, 0.185937844765
15, 5,0.45, 0.140360464256
15, 5,0.5, 0.0916442871094
15, 6,0.01, 4.57215382366e-09
15, 6,0.05, 4.92874733699e-05
15, 6,0.1, 0.00193903954745
15, 6,0.15, 0.0132045002027
15, 6,0.2, 0.042992622633
15, 6,0.25, 0.091747767292
15, 6,0.3, 0.147235986413
15, 6,0.35, 0.190560356976
15, 6,0.4, 0.206597605294
15, 6,0.45, 0.191400633077
15, 6,0.5, 0.152740478516
15, 7,0.01, 5.93786210864e-11
15, 7,0.05, 3.33524255886e-06
15, 7,0.1, 0.000277005649635
15, 7,0.15, 0.00299597903758
15, 7,0.2, 0.0138190572749
15, 7,0.25, 0.0393204716966
15, 7,0.3, 0.0811300333293
15, 7,0.35, 0.131926400984
15, 7,0.4, 0.177083661681
15, 7,0.45, 0.201343523107
15, 7,0.5, 0.196380615234
15, 8,0.01, 5.99784051378e-13
15, 8,0.05, 1.75539082045e-07
15, 8,0.1, 3.0778405515e-05
15, 8,0.15, 0.000528702183103
15, 8,0.2, 0.00345476431872
15, 8,0.25, 0.0131068238989
15, 8,0.3, 0.034770014284
15, 8,0.35, 0.0710372928374
15, 8,0.4, 0.118055774454
15, 8,0.45, 0.164735609815
15, 8,0.5, 0.196380615234
15, 9,0.01, 4.71210814775e-15
15, 9,0.05, 7.18581037613e-09
15, 9,0.1, 2.659862205e-06
15, 9,0.15, 7.25669663082e-05
15, 9,0.2, 0.00067175972864
15, 9,0.25, 0.00339806545526
15, 9,0.3, 0.0115900047613
15, 9,0.35, 0.0297506611028
15, 9,0.4, 0.0612141052723
15, 9,0.45, 0.1048317517
15, 9,0.5, 0.152740478516
15, 10,0.01, 2.85582311985e-17
15, 10,0.05, 2.26920327667e-10
15, 10,0.1, 1.77324147e-07
15, 10,0.15, 7.68356113852e-06
15, 10,0.2, 0.000100763959296
15, 10,0.25, 0.000679613091052
15, 10,0.3, 0.00298028693863
15, 10,0.35, 0.00961175204861
15, 10,0.4, 0.0244856421089
15, 10,0.45, 0.0514628599255
15, 10,0.5, 0.0916442871094
15, 11,0.01, 1.31121355365e-19
15, 11,0.05, 5.4287159729e-12
15, 11,0.1, 8.955765e-09
15, 11,0.15, 6.16328433571e-07
15, 11,0.2, 1.145044992e-05
15, 11,0.25, 0.000102971680462
15, 11,0.3, 0.000580575377655
15, 11,0.35, 0.00235252672518
15, 11,0.4, 0.00741989154816
15, 11,0.45, 0.0191390801376
15, 11,0.5, 0.0416564941406
15, 12,0.01, 4.41486045e-22
15, 12,0.05, 9.52406311035e-14
15, 12,0.1, 3.31695e-10
15, 12,0.15, 3.62546137395e-08
15, 12,0.2, 9.5420416e-07
15, 12,0.25, 1.14412978292e-05
15, 12,0.3, 8.2939339665e-05
15, 12,0.35, 0.000422248386571
15, 12,0.4, 0.00164886478848
15, 12,0.45, 0.00521974912844
15, 12,0.5, 0.0138854980469
15, 13,0.01, 1.029105e-24
15, 13,0.05, 1.15676879883e-15
15, 13,0.1, 8.505e-12
15, 13,0.15, 1.47643223373e-09
15, 13,0.2, 5.505024e-08
15, 13,0.25, 8.80099833012e-07
15, 13,0.3, 8.202791835e-06
15, 13,0.35, 5.2468734426e-05
15, 13,0.4, 0.00025367150592
15, 13,0.45, 0.000985547038236
15, 13,0.5, 0.00320434570312
15, 14,0.01, 1.485e-27
15, 14,0.05, 8.69750976563e-18
15, 14,0.1, 1.35e-13
15, 14,0.15, 3.72209806824e-11
15, 14,0.2, 1.96608e-09
15, 14,0.25, 4.19095158577e-08
15, 14,0.3, 5.02211745e-07
15, 14,0.35, 4.03605649431e-06
15, 14,0.4, 2.415919104e-05
15, 14,0.45, 0.000115193809664
15, 14,0.5, 0.000457763671875
15, 15,0.01, 1e-30
15, 15,0.05, 3.0517578125e-20
15, 15,0.1, 1e-15
15, 15,0.15, 4.37893890381e-13
15, 15,0.2, 3.2768e-11
15, 15,0.25, 9.31322574615e-10
15, 15,0.3, 1.4348907e-08
15, 15,0.35, 1.44884079283e-07
15, 15,0.4, 1.073741824e-06
15, 15,0.45, 6.28329870894e-06
15, 15,0.5, 3.0517578125e-05
16, 0,0.01, 0.851457771095
16, 0,0.05, 0.440126668652
16, 0,0.1, 0.185302018885
16, 0,0.15, 0.0742510862361
16, 0,0.2, 0.0281474976711
16, 0,0.25, 0.0100225957576
16, 0,0.3, 0.00332329305696
16, 0,0.35, 0.00101534516782
16, 0,0.4, 0.000282110990746
16, 0,0.45, 7.01137235467e-05
16, 0,0.5, 1.52587890625e-05
16, 1,0.01, 0.137609336743
16, 1,0.05, 0.370632984128
16, 1,0.1, 0.329425811351
16, 1,0.15, 0.209650125843
16, 1,0.2, 0.112589990684
16, 1,0.25, 0.0534538440406
16, 1,0.3, 0.0227882952477
16, 1,0.35, 0.00874758913815
16, 1,0.4, 0.00300918390129
16, 1,0.45, 0.000917852380975
16, 1,0.5, 0.000244140625
16, 2,0.01, 0.0104249497532
16, 2,0.05, 0.146302493735
16, 2,0.1, 0.27452150946
16, 2,0.15, 0.277478107733
16, 2,0.2, 0.211106232533
16, 2,0.25, 0.133634610102
16, 2,0.3, 0.0732480918677
16, 2,0.35, 0.0353268022887
16, 2,0.4, 0.0150459195064
16, 2,0.45, 0.00563227597417
16, 2,0.5, 0.0018310546875
16, 3,0.01, 0.000491411772879
16, 3,0.05, 0.0359339458296
16, 3,0.1, 0.142344486386
16, 3,0.15, 0.228511382839
16, 3,0.2, 0.246290604622
16, 3,0.25, 0.207876060158
16, 3,0.3, 0.146496183735
16, 3,0.35, 0.0887699134434
16, 3,0.4, 0.0468095273533
16, 3,0.45, 0.0215050537195
16, 3,0.5, 0.008544921875
16, 4,0.01, 1.61322046652e-05
16, 4,0.05, 0.00614659599716
16, 4,0.1, 0.0514021756395
16, 4,0.15, 0.131057998981
16, 4,0.2, 0.200111116255
16, 4,0.25, 0.225199065171
16, 4,0.3, 0.204048255917
16, 4,0.35, 0.155347348526
16, 4,0.4, 0.101420642599
16, 4,0.45, 0.0571838928451
16, 4,0.5, 0.0277709960937
16, 5,0.01, 3.9108374946e-07
16, 5,0.05, 0.000776412125957
16, 5,0.1, 0.0137072468372
16, 5,0.15, 0.0555069172156
16, 5,0.2, 0.120066669753
16, 5,0.25, 0.180159252137
16, 5,0.3, 0.209878206086
16, 5,0.35, 0.20075657348
16, 5,0.4, 0.162273028158
16, 5,0.45, 0.112288371405
16, 5,0.5, 0.066650390625
16, 6,0.01, 7.24229165667e-09
16, 6,0.05, 7.49169595222e-05
16, 6,0.1, 0.00279221694832
16, 6,0.15, 0.0179581202756
16, 6,0.2, 0.0550305569702
16, 6,0.25, 0.11009732075
16, 6,0.3, 0.164904304782
16, 6,0.35, 0.198182771255
16, 6,0.4, 0.198333701082
16, 6,0.45, 0.168432557108
16, 6,0.5, 0.122192382812
16, 7,0.01, 1.04506373112e-10
16, 7,0.05, 5.63285409941e-06
16, 7,0.1, 0.000443209039416
16, 7,0.15, 0.00452725721235
16, 7,0.2, 0.0196537703465
16, 7,0.25, 0.0524272955954
16, 7,0.3, 0.100961819254
16, 7,0.35, 0.152448285581
16, 7,0.4, 0.188889239126
16, 7,0.45, 0.196869222593
16, 7,0.5, 0.174560546875
16, 8,0.01, 1.18757242173e-12
16, 8,0.05, 3.33524255886e-07
16, 8,0.1, 5.5401129927e-05
16, 8,0.15, 0.000898793711275
16, 8,0.2, 0.00552762290995
16, 8,0.25, 0.0196602358483
16, 8,0.3, 0.0486780199976
16, 8,0.35, 0.0923484806886
16, 8,0.4, 0.141666929345
16, 8,0.45, 0.181209170796
16, 8,0.5, 0.196380615234
16, 9,0.01, 1.06628275801e-14
16, 9,0.05, 1.56034739596e-08
16, 9,0.1, 5.471716536e-06
16, 9,0.15, 0.000140987248827
16, 9,0.2, 0.00122836064666
16, 9,0.25, 0.00582525506616
16, 9,0.3, 0.0185440076181
16, 9,0.35, 0.0442009822099
16, 9,0.4, 0.0839507729449
16, 9,0.45, 0.131788487852
16, 9,0.5, 0.174560546875
16, 10,0.01, 7.5393730364e-17
16, 10,0.05, 5.7486483009e-10
16, 10,0.1, 4.255779528e-07
16, 10,0.15, 1.7416071914e-05
16, 10,0.2, 0.000214963113165
16, 10,0.25, 0.0013592261821
16, 10,0.3, 0.00556320228544
16, 10,0.35, 0.0166603702176
16, 10,0.4, 0.0391770273743
16, 10,0.45, 0.0754788612241
16, 10,0.5, 0.122192382812
16, 11,0.01, 4.15392453796e-19
16, 11,0.05, 1.65032965576e-11
16, 11,0.1, 2.57926032e-08
16, 11,0.15, 1.67641333931e-06
16, 11,0.2, 2.93131517952e-05
16, 11,0.25, 0.00024713203311
16, 11,0.3, 0.00130048884595
16, 11,0.35, 0.00489325558838
16, 11,0.4, 0.0142461917725
16, 11,0.45, 0.0336847810422
16, 11,0.5, 0.066650390625
16, 12,0.01, 1.7482847382e-21
16, 12,0.05, 3.61914398193e-13
16, 12,0.1, 1.194102e-09
