n, x, pi, p
5, 3,0.01, 9.801e-06
5, 3,0.05, 0.001128125
5, 3,0.1, 0.0081
5, 3,0.15, 0.024384375
5, 3,0.2, 0.0512
5, 3,0.25, 0.087890625
5, 3,0.3, 0.1323
5, 3,0.35, 0.181146875
5, 3,0.4, 0.2304
5, 3,0.45, 0.275653125
5, 3,0.5, 0.3125
5, 4,0.01, 4.95e-08
5, 4,0.05, 2.96875e-05
5, 4,0.1, 0.00045
5, 4,0.15, 0.0021515625
5, 4,0.2, 0.0064
5, 4,0.25, 0.0146484375
5, 4,0.3, 0.02835
5, 4,0.35, 0.0487703125
5, 4,0.4, 0.0768
5, 4,0.45, 0.1127671875
5, 4,0.5, 0.15625
5, 5,0.01, 1e-10
5, 5,0.05, 3.125e-07
5, 5,0.1, 1e-05
5, 5,0.15, 7.59375e-05
5, 5,0.2, 0.00032
5, 5,0.25, 0.0009765625
5, 5,0.3, 0.00243
5, 5,0.35, 0.0052521875
5, 5,0.4, 0.01024
5, 5,0.45, 0.0184528125
5, 5,0.5, 0.03125
6, 0,0.01, 0.941480149401
6, 0,0.05, 0.735091890625
6, 0,0.1, 0.531441
6, 0,0.15, 0.377149515625
6, 0,0.2, 0.262144
6, 0,0.25, 0.177978515625
6, 0,0.3, 0.117649
6, 0,0.35, 0.075418890625
6, 0,0.4, 0.046656
6, 0,0.45, 0.027680640625
6, 0,0.5, 0.015625
6, 1,0.01, 0.057059402994
6, 1,0.05, 0.23213428125
6, 1,0.1, 0.354294
6, 1,0.15, 0.39933478125
6, 1,0.2, 0.393216
6, 1,0.25, 0.35595703125
6, 1,0.3, 0.302526
6, 1,0.35, 0.24366103125
6, 1,0.4, 0.186624
6, 1,0.45, 0.13588678125
6, 1,0.5, 0.09375
6, 2,0.01, 0.001440894015
6, 2,0.05, 0.030543984375
6, 2,0.1, 0.098415
6, 2,0.15, 0.176177109375
6, 2,0.2, 0.24576
6, 2,0.25, 0.296630859375
6, 2,0.3, 0.324135
6, 2,0.35, 0.328005234375
6, 2,0.4, 0.31104
6, 2,0.45, 0.277950234375
6, 2,0.5, 0.234375
6, 3,0.01, 1.940598e-05
6, 3,0.05, 0.0021434375
6, 3,0.1, 0.01458
6, 3,0.15, 0.0414534375
6, 3,0.2, 0.08192
6, 3,0.25, 0.1318359375
6, 3,0.3, 0.18522
6, 3,0.35, 0.2354909375
6, 3,0.4, 0.27648
6, 3,0.45, 0.3032184375
6, 3,0.5, 0.3125
6, 4,0.01, 1.47015e-07
6, 4,0.05, 8.4609375e-05
6, 4,0.1, 0.001215
6, 4,0.15, 0.005486484375
6, 4,0.2, 0.01536
6, 4,0.25, 0.032958984375
6, 4,0.3, 0.059535
6, 4,0.35, 0.095102109375
6, 4,0.4, 0.13824
6, 4,0.45, 0.186065859375
6, 4,0.5, 0.234375
6, 5,0.01, 5.94e-10
6, 5,0.05, 1.78125e-06
6, 5,0.1, 5.4e-05
6, 5,0.15, 0.00038728125
6, 5,0.2, 0.001536
6, 5,0.25, 0.00439453125
6, 5,0.3, 0.010206
6, 5,0.35, 0.02048353125
6, 5,0.4, 0.036864
6, 5,0.45, 0.06089428125
6, 5,0.5, 0.09375
6, 6,0.01, 1e-12
6, 6,0.05, 1.5625e-08
6, 6,0.1, 1e-06
6, 6,0.15, 1.1390625e-05
6, 6,0.2, 6.4e-05
6, 6,0.25, 0.000244140625
6, 6,0.3, 0.000729
6, 6,0.35, 0.001838265625
6, 6,0.4, 0.004096
6, 6,0.45, 0.008303765625
6, 6,0.5, 0.015625
7, 0,0.01, 0.932065347907
7, 0,0.05, 0.698337296094
7, 0,0.1, 0.4782969
7, 0,0.15, 0.320577088281
7, 0,0.2, 0.2097152
7, 0,0.25, 0.133483886719
7, 0,0.3, 0.0823543
7, 0,0.35, 0.0490222789063
7, 0,0.4, 0.0279936
7, 0,0.45, 0.0152243523438
7, 0,0.5, 0.0078125
7, 1,0.01, 0.0659036104581
7, 1,0.05, 0.257282161719
7, 1,0.1, 0.3720087
7, 1,0.15, 0.396006991406
7, 1,0.2, 0.3670016
7, 1,0.25, 0.311462402344
7, 1,0.3, 0.2470629
7, 1,0.35, 0.184776282031
7, 1,0.4, 0.1306368
7, 1,0.45, 0.0871940179688
7, 1,0.5, 0.0546875
7, 2,0.01, 0.00199707910479
7, 2,0.05, 0.0406234992187
7, 2,0.1, 0.1240029
7, 2,0.15, 0.209650760156
7, 2,0.2, 0.2752512
7, 2,0.25, 0.311462402344
7, 2,0.3, 0.3176523
7, 2,0.35, 0.298484763281
7, 2,0.4, 0.2612736
7, 2,0.45, 0.214021680469
7, 2,0.5, 0.1640625
7, 3,0.01, 3.362086035e-05
7, 3,0.05, 0.00356346484375
7, 3,0.1, 0.0229635
7, 3,0.15, 0.0616619882813
7, 3,0.2, 0.114688
7, 3,0.25, 0.173034667969
7, 3,0.3, 0.2268945
7, 3,0.35, 0.267870941406
7, 3,0.4, 0.290304
7, 3,0.45, 0.291847746094
7, 3,0.5, 0.2734375
7, 4,0.01, 3.3960465e-07
7, 4,0.05, 0.00018755078125
7, 4,0.1, 0.0025515
7, 4,0.15, 0.0108815273438
7, 4,0.2, 0.028672
7, 4,0.25, 0.0576782226562
7, 4,0.3, 0.0972405
7, 4,0.35, 0.144238199219
7, 4,0.4, 0.193536
7, 4,0.45, 0.238784519531
7, 4,0.5, 0.2734375
7, 5,0.01, 2.05821e-09
7, 5,0.05, 5.92265625e-06
7, 5,0.1, 0.0001701
7, 5,0.15, 0.00115216171875
7, 5,0.2, 0.0043008
7, 5,0.25, 0.0115356445312
7, 5,0.3, 0.0250047
7, 5,0.35, 0.0466000335937
7, 5,0.4, 0.0774144
