k, x, p
20,39.997,0.005
20,43.072,0.002
21,8.034,0.995
21,8.897,0.99
21,10.283,0.975
21,11.591,0.95
21,13.24,0.9
21,16.344,0.75
21,20.337,0.5
21,24.935,0.25
21,29.615,0.1
21,32.671,0.05
21,35.479,0.025
21,38.932,0.01
21,41.401,0.005
21,44.522,0.002
22,8.643,0.995
22,9.542,0.99
22,10.982,0.975
22,12.338,0.95
22,14.041,0.9
22,17.24,0.75
22,21.337,0.5
22,26.039,0.25
22,30.813,0.1
22,33.924,0.05
22,36.781,0.025
22,40.289,0.01
22,42.796,0.005
22,45.962,0.002
23,9.26,0.995
23,10.196,0.99
23,11.689,0.975
23,13.091,0.95
23,14.848,0.9
23,18.137,0.75
23,22.337,0.5
23,27.141,0.25
23,32.007,0.1
23,35.172,0.05
23,38.076,0.025
23,41.638,0.01
23,44.181,0.005
23,47.391,0.002
24,9.886,0.995
24,10.856,0.99
24,12.401,0.975
24,13.848,0.95
24,15.659,0.9
24,19.037,0.75
24,23.337,0.5
24,28.241,0.25
24,33.196,0.1
24,36.415,0.05
24,39.364,0.025
24,42.98,0.01
24,45.559,0.005
24,48.812,0.002
25,10.52,0.995
25,11.524,0.99
25,13.12,0.975
25,14.611,0.95
25,16.473,0.9
25,19.939,0.75
25,24.337,0.5
25,29.339,0.25
25,34.382,0.1
25,37.652,0.05
25,40.646,0.025
25,44.314,0.01
25,46.928,0.005
25,50.223,0.002
26,11.16,0.995
26,12.198,0.99
26,13.844,0.975
26,15.379,0.95
26,17.292,0.9
26,20.843,0.75
26,25.336,0.5
26,30.435,0.25
26,35.563,0.1
26,38.885,0.05
26,41.923,0.025
26,45.642,0.01
26,48.29,0.005
26,51.627,0.002
27,11.808,0.995
27,12.879,0.99
27,14.573,0.975
27,16.151,0.95
27,18.114,0.9
27,21.749,0.75
27,26.336,0.5
27,31.528,0.25
27,36.741,0.1
27,40.113,0.05
27,43.195,0.025
27,46.963,0.01
27,49.645,0.005
27,53.023,0.002
28,12.461,0.995
28,13.565,0.99
28,15.308,0.975
28,16.928,0.95
28,18.939,0.9
28,22.657,0.75
28,27.336,0.5
28,32.62,0.25
28,37.916,0.1
28,41.337,0.05
28,44.461,0.025
28,48.278,0.01
28,50.993,0.005
28,54.411,0.002
29,13.121,0.995
29,14.256,0.99
29,16.047,0.975
29,17.708,0.95
29,19.768,0.9
29,23.567,0.75
29,28.336,0.5
29,33.711,0.25
29,39.087,0.1
29,42.557,0.05
29,45.722,0.025
29,49.588,0.01
29,52.336,0.005
29,55.792,0.002
30,13.787,0.995
30,14.953,0.99
30,16.791,0.975
30,18.493,0.95
30,20.599,0.9
30,24.478,0.75
30,29.336,0.5
30,34.8,0.25
30,40.256,0.1
30,43.773,0.05
30,46.979,0.025
30,50.892,0.01
30,53.672,0.005
30,57.167,0.002
31,14.458,0.995
31,15.655,0.99
31,17.539,0.975
31,19.281,0.95
31,21.434,0.9
31,25.39,0.75
31,30.336,0.5
31,35.887,0.25
31,41.422,0.1
31,44.985,0.05
31,48.232,0.025
31,52.191,0.01
31,55.003,0.005
31,58.536,0.002
32,15.134,0.995
32,16.362,0.99
32,18.291,0.975
32,20.072,0.95
32,22.271,0.9
32,26.304,0.75
32,31.336,0.5
32,36.973,0.25
32,42.585,0.1
32,46.194,0.05
32,49.48,0.025
32,53.486,0.01
32,56.328,0.005
32,59.899,0.002
33,15.815,0.995
33,17.074,0.99
33,19.047,0.975
33,20.867,0.95
33,23.11,0.9
33,27.219,0.75
33,32.336,0.5
33,38.058,0.25
33,43.745,0.1
33,47.4,0.05
33,50.725,0.025
33,54.776,0.01
33,57.648,0.005
33,61.256,0.002
34,16.501,0.995
34,17.789,0.99
34,19.806,0.975
34,21.664,0.95
34,23.952,0.9
34,28.136,0.75
34,33.336,0.5
34,39.141,0.25
34,44.903,0.1
34,48.602,0.05
34,51.966,0.025
34,56.061,0.01
34,58.964,0.005
34,62.608,0.002
35,17.192,0.995
35,18.509,0.99
35,20.569,0.975
35,22.465,0.95
35,24.797,0.9
35,29.054,0.75
35,34.336,0.5
35,40.223,0.25
35,46.059,0.1
35,49.802,0.05
35,53.203,0.025
35,57.342,0.01
35,60.275,0.005
35,63.955,0.002
36,17.887,0.995
36,19.233,0.99
36,21.336,0.975
36,23.269,0.95
36,25.643,0.9
36,29.973,0.75
36,35.336,0.5
36,41.304,0.25
36,47.212,0.1
36,50.998,0.05
36,54.437,0.025
36,58.619,0.01
36,61.581,0.005
36,65.296,0.002
37,18.586,0.995
37,19.96,0.99
37,22.106,0.975
37,24.075,0.95
37,26.492,0.9
37,30.893,0.75
37,36.336,0.5
37,42.383,0.25
37,48.363,0.1
37,52.192,0.05
37,55.668,0.025
37,59.893,0.01
37,62.883,0.005
37,66.633,0.002
38,19.289,0.995
38,20.691,0.99
38,22.878,0.975
38,24.884,0.95
38,27.343,0.9
38,31.815,0.75
38,37.335,0.5
38,43.462,0.25
38,49.513,0.1
38,53.384,0.05
38,56.896,0.025
38,61.162,0.01
38,64.181,0.005
38,67.966,0.002
39,19.996,0.995
39,21.426,0.99
39,23.654,0.975
39,25.695,0.95
39,28.196,0.9
39,32.737,0.75
39,38.335,0.5
39,44.539,0.25
39,50.66,0.1
39,54.572,0.05
39,58.12,0.025
39,62.428,0.01
39,65.476,0.005
39,69.294,0.002
40,20.707,0.995
40,22.164,0.99
40,24.433,0.975
40,26.509,0.95
40,29.051,0.9
40,33.66,0.75
40,39.335,0.5
40,45.616,0.25
40,51.805,0.1
40,55.758,0.05
40,59.342,0.025
40,63.691,0.01
40,66.766,0.005
40,70.618,0.002
41,21.421,0.995
41,22.906,0.99
41,25.215,0.975
41,27.326,0.95
41,29.907,0.9
41,34.585,0.75
41,40.335,0.5
41,46.692,0.25
41,52.949,0.1
41,56.942,0.05
41,60.561,0.025
41,64.95,0.01
41,68.053,0.005
41,71.938,0.002
42,22.138,0.995
42,23.65,0.99
42,25.999,0.975
42,28.144,0.95
42,30.765,0.9
42,35.51,0.75
42,41.335,0.5
42,47.766,0.25
42,54.09,0.1
42,58.124,0.05
42,61.777,0.025
42,66.206,0.01
42,69.336,0.005
42,73.254,0.002
43,22.859,0.995
43,24.398,0.99
43,26.785,0.975
43,28.965,0.95
43,31.625,0.9
43,36.436,0.75
43,42.335,0.5
43,48.84,0.25
43,55.23,0.1
43,59.304,0.05
43,62.99,0.025
43,67.459,0.01
43,70.616,0.005
43,74.566,0.002
44,23.584,0.995
44,25.148,0.99
44,27.575,0.975
44,29.787,0.95
44,32.487,0.9
44,37.363,0.75
44,43.335,0.5
44,49.913,0.25
44,56.369,0.1
44,60.481,0.05
44,64.201,0.025
44,68.71,0.01
44,71.893,0.005
44,75.874,0.002
45,24.311,0.995
45,25.901,0.99
45,28.366,0.975
45,30.612,0.95
45,33.35,0.9
45,38.291,0.75
45,44.335,0.5
45,50.985,0.25
45,57.505,0.1
45,61.656,0.05
