n, t, prob
21, 0.01, -2.51764801604
21, 0.005, -2.83135955802
21, 0.001, -3.52715366855
21, 0.0005, -3.81927716303
22, 0.4, -0.256432034615
22, 0.25, -0.685805033163
22, 0.1, -1.32123674161
22, 0.05, -1.71714437438
22, 0.025, -2.0738730679
22, 0.01, -2.5083245529
22, 0.005, -2.8187560606
22, 0.001, -3.50499203088
22, 0.0005, -3.79213067089
23, 0.4, -0.256297060131
23, 0.25, -0.685306279213
23, 0.1, -1.31946023914
23, 0.05, -1.71387152775
23, 0.025, -2.06865761042
23, 0.01, -2.49986673949
23, 0.005, -2.80733568377
23, 0.001, -3.4849643748
23, 0.0005, -3.76762680377
24, 0.4, -0.256173398492
24, 0.25, -0.684849628166
24, 0.1, -1.31783593186
24, 0.05, -1.71088207991
24, 0.025, -2.06389856163
24, 0.01, -2.49215947316
24, 0.005, -2.79693950477
24, 0.001, -3.46677729793
24, 0.0005, -3.74539861893
25, 0.4, -0.256059684969
25, 0.25, -0.684429965661
25, 0.1, -1.31634507656
25, 0.05, -1.70814076125
25, 0.025, -2.05953855275
25, 0.01, -2.48510717541
25, 0.005, -2.78743581368
25, 0.001, -3.45018872691
25, 0.0005, -3.72514394948
26, 0.4, -0.255954765931
26, 0.25, -0.68404297338
26, 0.1, -1.31497186746
26, 0.05, -1.70561791976
26, 0.025, -2.05552943864
26, 0.01, -2.47862982359
26, 0.005, -2.77871453333
26, 0.001, -3.43499718152
26, 0.0005, -3.70661174331
27, 0.4, -0.255857659322
27, 0.25, -0.683684980296
27, 0.1, -1.31370291546
27, 0.05, -1.70328844572
27, 0.025, -2.05183051648
27, 0.01, -2.47265991196
27, 0.005, -2.77068295712
27, 0.001, -3.4210336212
27, 0.0005, -3.68959171334
28, 0.4, -0.255767523941
28, 0.25, -0.683352844527
28, 0.1, -1.31252678416
28, 0.05, -1.70113093427
28, 0.025, -2.0484071418
28, 0.01, -2.46714009797
28, 0.005, -2.76326245546
28, 0.001, -3.40815517833
28, 0.0005, -3.67390640062
29, 0.4, -0.255683633967
29, 0.25, -0.683043859247
29, 0.1, -1.31143365051
29, 0.05, -1.69912702653
29, 0.025, -2.04522964213
29, 0.01, -2.46202136015
29, 0.005, -2.75638590367
29, 0.001, -3.39624028834
29, 0.0005, -3.6594050194
30, 0.4, -0.255605364442
30, 0.25, -0.682755691993
30, 0.1, -1.31041502257
30, 0.05, -1.69726089436
30, 0.025, -2.0422724563
30, 0.01, -2.4572615424
30, 0.005, -2.74999565357
30, 0.001, -3.38518486682
30, 0.0005, -3.645958635
35, 0.4, -0.255281380394
35, 0.25, -0.681564077433
35, 0.1, -1.30621180072
35, 0.05, -1.68957245396
35, 0.025, -2.03010792825
35, 0.01, -2.43772254714
35, 0.005, -2.72380558921
35, 0.001, -3.3400452021
35, 0.0005, -3.5911467758
40, 0.4, -0.255038686225
40, 0.25, -0.68067271685
40, 0.1, -1.30307705194
40, 0.05, -1.68385101139
40, 0.025, -2.021075383
40, 0.01, -2.42325677933
40, 0.005, -2.70445926743
40, 0.001, -3.30687771409
40, 0.0005, -3.55096576086
60, 0.4, -0.254473394974
60, 0.25, -0.678600720607
60, 0.1, -1.29582109343
60, 0.05, -1.67064886465
60, 0.025, -2.00029782106
60, 0.01, -2.39011946831
60, 0.005, -2.66028303115
60, 0.001, -3.23170912602
60, 0.0005, -3.4602004692
120, 0.4, -0.253909523214
120, 0.25, -0.676539724911
120, 0.1, -1.28864623365
120, 0.05, -1.65765089935
120, 0.025, -1.97993040505
120, 0.01, -2.35782461251
120, 0.005, -2.61742114477
120, 0.001, -3.15953874141
120, 0.0005, -3.37345376507
1000, 0.4, -0.253414515839
1000, 0.25, -0.674735164607
1000, 0.1, -1.28239872146
1000, 0.05, -1.64637881729
1000, 0.025, -1.96233908083
1000, 0.01, -2.33008267476
1000, 0.005, -2.58075469807
1000, 0.001, -3.09840216391
1000, 0.0005, -3.30028264842
